episode,steps,reward,loss,epsilon,outcome,win_rate_50
317,400,4.686,0.09874,0.57,timeout,0.0
318,400,3.667,0.15056,0.568,timeout,0.0
319,400,3.691,0.08496,0.567,timeout,0.0
320,355,1.892,0.0931,0.566,out_of_bounds,0.0
321,400,2.983,0.10689,0.564,timeout,0.0
322,230,-0.091,0.10752,0.563,out_of_bounds,0.0
323,352,3.032,0.10364,0.562,out_of_bounds,0.0
324,27,10.175,0.05548,0.56,win,0.02
325,400,3.943,0.10781,0.559,timeout,0.02
326,400,3.858,0.10181,0.558,timeout,0.02
327,400,2.47,0.11812,0.556,timeout,0.02
328,400,3.387,0.12123,0.555,timeout,0.02
329,400,2.85,0.11955,0.554,timeout,0.02
330,400,3.447,0.10438,0.552,timeout,0.02
331,400,1.673,0.11277,0.551,timeout,0.02
332,400,2.495,0.10243,0.549,timeout,0.02
333,400,2.344,0.09545,0.548,timeout,0.02
334,400,6.804,0.10246,0.547,timeout,0.02
335,400,1.967,0.07861,0.545,timeout,0.02
336,400,-0.753,0.09765,0.544,timeout,0.02
337,400,2.065,0.11149,0.543,timeout,0.02
338,241,-3.856,0.09303,0.541,out_of_bounds,0.02
339,400,3.072,0.11315,0.54,timeout,0.02
340,100,-4.706,0.13176,0.539,out_of_bounds,0.02
341,400,3.553,0.07559,0.537,timeout,0.02
342,400,1.655,0.07856,0.536,timeout,0.02
343,400,0.779,0.06574,0.534,timeout,0.02
344,285,-0.87,0.11019,0.533,out_of_bounds,0.02
345,184,-1.608,0.08051,0.532,out_of_bounds,0.02
346,320,0.956,0.07045,0.53,out_of_bounds,0.02
347,400,0.739,0.10256,0.529,timeout,0.02
348,400,-2.633,0.07804,0.528,timeout,0.02
349,297,0.28,0.08849,0.526,out_of_bounds,0.02
350,400,2.9,0.0783,0.525,timeout,0.02
351,400,0.581,0.0909,0.524,timeout,0.02
352,400,2.182,0.09786,0.522,timeout,0.02
353,400,2.322,0.09899,0.521,timeout,0.02
354,400,-1.143,0.09179,0.52,timeout,0.02
355,35,10.366,0.0552,0.518,win,0.04
356,307,-1.362,0.10913,0.517,out_of_bounds,0.04
357,293,-1.361,0.10383,0.516,out_of_bounds,0.04
358,400,1.5,0.08741,0.514,timeout,0.04
359,297,0.455,0.08268,0.513,out_of_bounds,0.04
360,400,2.218,0.09323,0.511,timeout,0.04
361,400,2.719,0.10745,0.51,timeout,0.04
362,400,1.994,0.09309,0.509,timeout,0.04
363,400,2.041,0.0757,0.507,timeout,0.04
364,400,3.912,0.07513,0.506,timeout,0.04
